SNname,pcov,dmstd
SN2022hrs,[1.54771586e+02 1.09477159e+01 3.17733674e+00 2.05532837e-03],0
ASASSN-15ti,[4.22811666e+01 2.54727797e+00 1.23367854e+01 1.54283703e-03],0
ASASSN-15so,[5.39059152e+01 5.45702673e+00 3.79489296e-01 3.57886483e-03],0.172
SN2015ar,[1.28231471e+00 3.11232945e-01 3.72673258e+00 1.96901488e-03],0.099
ASASSN-15rq,[7.21571118e-01 4.90091195e-02 1.07578161e+00 2.77813919e-04],0
SN2015F,[0.78888116 0.26135974 0.10977147 0.00524004],0.133
iPTF14atg,[8.77242831e+02 6.19559002e+01 1.71930104e+00 5.99255688e-03],0
ASASSN-14lw,[2.48223431e+01 2.53110973e+00 1.39015836e+00 3.22377616e-03],0.114
ASASSN-14lp,[1.05079915 0.22334606 0.2070699  0.00175403],0.076
iPTF14bdn,[1.71734669 0.46968156 0.06166381 0.00202873],0.116
PS1-14xw,[6.60996777e+04 2.84699213e+03 8.06324438e+01 8.49214845e-03],0
SN2014ap,[1.43715519e+06 1.05640286e+05 2.94203294e+04 4.23258743e+00],0
SN2014J,[1.29905875e+01 1.64790118e+00 8.74964354e-01 2.22824372e-03],0.13
iPTF13ebh,[2.20904834e+02 1.82938525e+01 8.58657686e-01 4.21149089e-03],0
iPTF13dge,[4.36689982e+02 2.52244409e+01 1.04971569e+00 1.49683836e-03],0
SN2013gy,[1.21481469e+02 1.07658823e+01 7.14439810e-01 3.22866640e-03],0
SN2013gh,[9.49142169e+02 5.03407844e+01 2.03807484e+00 2.16215998e-03],0
SN2013ex,[2.83694544e+01 3.59780394e+00 1.21841890e+01 1.29971518e-02],0.302
SN2013dy,[4.05867528e+00 4.12591116e-01 1.51238040e-02 2.21324829e-04],0
SN2013cs,[1.29988728e+01 1.95659316e+00 1.17922717e-01 1.64607913e-03],0.104
SN2013cg,[2.38063972e+02 1.74091857e+01 1.37895857e+02 3.01085243e-02],0
SN2013bs,[inf inf inf inf],0
SN2013ag,[5.23253714e+03 3.53075954e+02 1.74334677e+02 7.25226391e-03],0
SN2013aa,[0.05738735 0.02850831 0.11081319 0.00032081],0.036
SN2013E,[4.24445902e+02 3.67797177e+01 2.11215118e+00 1.27161568e-02],0
LSQ12gdj,[3.19504532e+00 4.78446893e-01 2.92053184e-01 1.78946208e-03],0.08
SN2012ht,[0.10164858 0.06603147 0.10052256 0.00128509],0.064
SN2012hr,[2.37268046e+01 2.32713063e+00 8.07378370e-01 1.83793140e-03],0.09
SN2012fr,[0.05242342 0.02810301 0.00587708 0.00061803],0.04
SN2012dn,[4.79197602e-01 6.25021383e-02 9.44692429e-01 4.30777473e-04],0.053
SN2012cg,[0.37082396 0.14359326 0.04486117 0.00279748],0.097
SN2012Z,[3.19988210e+01 2.45872565e+00 2.31831948e+01 6.55304503e-03],0
SN2012V,[2.29006168e+00 2.51547414e-01 4.04653754e-01 4.54661989e-04],0.041
SN2011iv,[0.02034651 0.01137044 0.11098886 0.00012986],0.02
SN2011ia,[2.75257253e+01 1.66260799e+00 1.91892754e+01 3.62769703e-03],0.159
SN2011fe,[0.0126536  0.00806045 0.00404856 0.00013052],0.025
SN2011dn,[1.01510404e+03 6.92166231e+01 4.10767571e+01 4.79648016e-03],0
SN2011by,[0.12759903 0.05426993 0.02808078 0.00126851],0.063
SN2011ao,[2.61321356e+01 3.34826378e+00 2.05536900e-01 3.26490697e-03],0.132
SN2011aa,[1.22379553e-01 1.10946073e-01 1.35432472e+00 1.12105371e-03],0.074
SN2011B,[0.3877931  0.16165356 0.19229841 0.00348877],0.1
SN2010ev,[inf inf inf inf],0
SN2010cr,[1.27527710e+04 7.27362139e+02 2.54491852e+02 3.04623259e-02],0
SN2010Y,[2.26848424 1.79652574 0.70463014 0.00346693],0.263
PTF10icb,[1.40934191e+05 6.53086796e+03 2.55973075e+02 5.80323037e-02],0
SN2009ig,[0.28811044 0.19601102 0.03883255 0.00131736],0.107
SN2009cz,[5.83156563e+02 5.11987271e+01 2.38224857e+01 1.84331807e-02],0
SN2009an,[3.38287033e+02 2.77856158e+01 1.38930899e+00 7.22624703e-03],0
SN2009Y,[1.42472012e+04 6.66859110e+02 1.73058090e+01 1.97628994e-02],0
SNF20080514002,[6.78460497e+01 8.31554291e+00 1.02353995e+00 4.78671749e-03],0.246
SN2008hv,[0.35477234 0.21253955 0.17350785 0.00234947],0.112
SN2008hs,[7.94576754e+03 2.96995657e+02 7.73736963e+00 3.21691733e-03],0
SN2008Q,[7.20739392e+00 9.19827283e-01 2.59856257e-01 1.92377034e-03],0.073
SN2007on,[0.07880721 0.05617633 0.14255813 0.00138321],0.055
SN2007cv,[7.40350062e+02 3.32482690e+01 6.23111083e-01 6.90023969e-03],0
SN2007af,[0.82698955 0.18347292 0.22284669 0.00160176],0.084
SN2006ej,[5.73086483e+01 4.78792434e+00 5.38134841e+01 1.99409146e-02],0
SN2006dm,[inf inf inf inf],0
SN2005ke,[0.11782434 0.08150327 0.0935604  0.00250685],0.078
SN2005hk,[inf inf inf inf],0
SN2005df,[1.15242166 0.65409885 0.09712126 0.00339411],0.165
SN2005cf,[6.14989163e+02 6.74300135e+01 5.39451042e+00 2.78151212e-02],0
SN2005am,[0.39262577 0.11333661 0.18838556 0.00123467],0.071
SN2020hvf,[1.28829975 0.65322784 0.16502974 0.02377388],0.245
SN2019np,[0.36448524 0.17072378 0.07662107 0.00262733],0.113
SN2018ilu,[1.63466861 0.49871347 0.10937664 0.00336891],0.119
SN2018aoz,[0.17275388 0.10230759 0.07029773 0.00170168],0.091
SN2017cbv,[0.34423155 0.14401015 0.16582108 0.00624692],0.105
SN2011fs,[1.22416558e+02 8.88814810e+00 8.26233008e+00 1.40199743e-03],0
ASASSN-14eu,[5.92112441e+04 2.56444709e+03 3.38308648e+02 8.52983894e-03],0
SN2013E,[4.24445902e+02 3.67797177e+01 2.11215118e+00 1.27161568e-02],0
SN2013gh,[9.49142169e+02 5.03407844e+01 2.03807484e+00 2.16215998e-03],0
SN2009dc,[2.59459142e+00 1.23958263e+00 2.62750911e+01 1.26126157e-02],0
SN2015I,[5.33127382e+04 2.35171340e+03 4.19454538e+02 2.29304785e-02],0
